'Validation error', 'Training error', 'Epoch', 'D/T'
'Validation error', 'Training error', 'Epoch', 'D/T'
'Validation error', 'Training error', 'Epoch', 'D/T'
0.602234, 0.615038, 1, 2019-10-22/14:44:14
0.595217, 0.595427, 2, 2019-10-22/15:26:16
0.593858, 0.589759, 3, 2019-10-22/16:07:45
0.587697, 0.587105, 4, 2019-10-22/16:49:01
0.586391, 0.58431, 5, 2019-10-22/17:30:26
0.586122, 0.583602, 6, 2019-10-22/18:11:53
0.584961, 0.58301, 7, 2019-10-22/18:53:24
0.584067, 0.582061, 8, 2019-10-22/19:34:59
0.582558, 0.579559, 9, 2019-10-22/20:16:27
0.581664, 0.578859, 10, 2019-10-22/20:57:54
0.581229, 0.577511, 11, 2019-10-22/21:39:27
0.579916, 0.576819, 12, 2019-10-22/22:20:57
0.581127, 0.576582, 13, 2019-10-22/23:02:28
0.580493, 0.577043, 14, 2019-10-22/23:43:55
0.579543, 0.576699, 15, 2019-10-23/00:25:23
0.57889, 0.575756, 16, 2019-10-23/01:06:50
0.57782, 0.575711, 17, 2019-10-23/01:48:13
0.57798, 0.575048, 18, 2019-10-23/02:29:42
0.577926, 0.575195, 19, 2019-10-23/03:11:03
0.580296, 0.576252, 20, 2019-10-23/03:52:34
0.57958, 0.575499, 21, 2019-10-23/04:34:00
0.57814, 0.576056, 22, 2019-10-23/05:15:26
0.577697, 0.57513, 23, 2019-10-23/05:56:53
0.578088, 0.57507, 24, 2019-10-23/06:38:15
0.578253, 0.574979, 25, 2019-10-23/07:19:53
0.578312, 0.575086, 26, 2019-10-23/08:00:59
0.57746, 0.573865, 27, 2019-10-23/08:42:15
0.576717, 0.574316, 28, 2019-10-23/09:23:33
0.576006, 0.573436, 29, 2019-10-23/10:04:45
0.575991, 0.572432, 30, 2019-10-23/10:46:03
0.57621, 0.572689, 31, 2019-10-23/11:27:18
0.575662, 0.572967, 32, 2019-10-23/12:08:34
0.575272, 0.57254, 33, 2019-10-23/12:49:48
0.575273, 0.571875, 34, 2019-10-23/13:31:13
0.577327, 0.572295, 35, 2019-10-23/14:12:42
0.575187, 0.571967, 36, 2019-10-23/14:54:09
0.576023, 0.572014, 37, 2019-10-23/15:35:31
0.574216, 0.571578, 38, 2019-10-23/16:16:53
0.575128, 0.571524, 39, 2019-10-23/16:58:20
0.573852, 0.571924, 40, 2019-10-23/17:39:46
0.575525, 0.571074, 41, 2019-10-23/18:21:08
0.574319, 0.571059, 42, 2019-10-23/19:02:38
0.574527, 0.570522, 43, 2019-10-23/19:44:08
0.576235, 0.570339, 44, 2019-10-23/20:25:38
0.573648, 0.570437, 45, 2019-10-23/21:07:09
0.574648, 0.571162, 46, 2019-10-23/21:48:40
0.574013, 0.57059, 47, 2019-10-23/22:30:06
0.575403, 0.571096, 48, 2019-10-23/23:11:37
0.57367, 0.570225, 49, 2019-10-23/23:53:09
0.573397, 0.570362, 50, 2019-10-24/00:34:44
0.573473, 0.570414, 51, 2019-10-24/01:16:17
0.572627, 0.570718, 52, 2019-10-24/01:57:51
0.57438, 0.570418, 53, 2019-10-24/02:39:27
0.574141, 0.570049, 54, 2019-10-24/03:20:57
0.573006, 0.569498, 55, 2019-10-24/04:02:26
0.573528, 0.569664, 56, 2019-10-24/04:43:57
0.573999, 0.569516, 57, 2019-10-24/05:25:20
0.572205, 0.569378, 58, 2019-10-24/06:06:39
0.572987, 0.569217, 59, 2019-10-24/06:47:57
0.571836, 0.56875, 60, 2019-10-24/07:29:08
0.572807, 0.569304, 61, 2019-10-24/08:10:03
0.571937, 0.569068, 62, 2019-10-24/08:51:13
0.572002, 0.569082, 63, 2019-10-24/09:32:34
0.571359, 0.569187, 64, 2019-10-24/10:13:51
0.57198, 0.568439, 65, 2019-10-24/10:55:05
0.57279, 0.569126, 66, 2019-10-24/11:36:24
0.571217, 0.568572, 67, 2019-10-24/12:17:43
0.572597, 0.569373, 68, 2019-10-24/12:58:55
0.571203, 0.568381, 69, 2019-10-24/13:40:11
0.570598, 0.568252, 70, 2019-10-24/14:21:24
0.571286, 0.568264, 71, 2019-10-24/15:02:44
0.571266, 0.568352, 72, 2019-10-24/15:43:57
0.571973, 0.568824, 73, 2019-10-24/16:25:10
0.573677, 0.567871, 74, 2019-10-24/17:06:23
0.571446, 0.567941, 75, 2019-10-24/17:47:37
0.574251, 0.568551, 76, 2019-10-24/18:28:58
0.570836, 0.567834, 77, 2019-10-24/19:10:19
0.571482, 0.567933, 78, 2019-10-24/19:51:37
0.57382, 0.567352, 79, 2019-10-24/20:32:56
0.572391, 0.568355, 80, 2019-10-24/21:14:17
0.570528, 0.567598, 81, 2019-10-24/21:55:38
0.571012, 0.567827, 82, 2019-10-24/22:36:58
0.570741, 0.567496, 83, 2019-10-24/23:18:16
0.571412, 0.567235, 84, 2019-10-24/23:59:32
0.571408, 0.567614, 85, 2019-10-25/00:40:49
0.570745, 0.567557, 86, 2019-10-25/01:22:10
0.572108, 0.567676, 87, 2019-10-25/02:03:29
0.570599, 0.567305, 88, 2019-10-25/02:44:48
0.569753, 0.567045, 89, 2019-10-25/03:26:03
0.570075, 0.567222, 90, 2019-10-25/04:07:21
0.569673, 0.567621, 91, 2019-10-25/04:48:42
0.571105, 0.566793, 92, 2019-10-25/05:29:56
0.569665, 0.567433, 93, 2019-10-25/06:11:15
0.571948, 0.567536, 94, 2019-10-25/06:52:33
0.569796, 0.56742, 95, 2019-10-25/07:33:49
0.569974, 0.567263, 96, 2019-10-25/08:14:51
0.569792, 0.566381, 97, 2019-10-25/08:55:59
0.569386, 0.566653, 98, 2019-10-25/09:37:18
0.569435, 0.566623, 99, 2019-10-25/10:18:31
0.56971, 0.566726, 100, 2019-10-25/10:59:45
0.570743, 0.566567, 101, 2019-10-25/11:41:01
0.570297, 0.56684, 102, 2019-10-25/12:22:10
0.570017, 0.566286, 103, 2019-10-25/13:03:24
0.570216, 0.566418, 104, 2019-10-25/13:44:38
0.569504, 0.566465, 105, 2019-10-25/14:25:49
0.569651, 0.566448, 106, 2019-10-25/15:07:05
0.569427, 0.566435, 107, 2019-10-25/15:48:20
0.56845, 0.566014, 108, 2019-10-25/16:29:38
0.569077, 0.566442, 109, 2019-10-25/17:10:52
0.570066, 0.565572, 110, 2019-10-25/17:52:10
0.568952, 0.566338, 111, 2019-10-25/18:33:29
0.57001, 0.565983, 112, 2019-10-25/19:14:56
0.570139, 0.565994, 113, 2019-10-25/19:56:19
0.570041, 0.566191, 114, 2019-10-25/20:37:42
0.570436, 0.565676, 115, 2019-10-25/21:19:11
0.569164, 0.566135, 116, 2019-10-25/22:00:37
0.569392, 0.56583, 117, 2019-10-25/22:41:59
0.57007, 0.566056, 118, 2019-10-25/23:23:27
0.569157, 0.566117, 119, 2019-10-26/00:04:57
0.56865, 0.565437, 120, 2019-10-26/00:46:35
0.568457, 0.565668, 121, 2019-10-26/01:28:06
0.568617, 0.567022, 122, 2019-10-26/02:09:29
0.568352, 0.566394, 123, 2019-10-26/02:50:52
0.569415, 0.565371, 124, 2019-10-26/03:32:17
0.569024, 0.565452, 125, 2019-10-26/04:13:36
0.56904, 0.565745, 126, 2019-10-26/04:54:54
0.568485, 0.565166, 127, 2019-10-26/05:36:14
0.568666, 0.565691, 128, 2019-10-26/06:17:35
0.56878, 0.565777, 129, 2019-10-26/06:58:57
0.568241, 0.565365, 130, 2019-10-26/07:40:11
0.568226, 0.565666, 131, 2019-10-26/08:21:26
0.569143, 0.565718, 132, 2019-10-26/09:02:46
0.569538, 0.565504, 133, 2019-10-26/09:44:09
0.569027, 0.565747, 134, 2019-10-26/10:25:29
0.568031, 0.565507, 135, 2019-10-26/11:06:48
0.569211, 0.565427, 136, 2019-10-26/11:48:12
0.56882, 0.56562, 137, 2019-10-26/12:29:33
0.56794, 0.564991, 138, 2019-10-26/13:10:52
0.568669, 0.565456, 139, 2019-10-26/13:52:09
0.569092, 0.565335, 140, 2019-10-26/14:33:25
0.567601, 0.565918, 141, 2019-10-26/15:14:46
0.569651, 0.565237, 142, 2019-10-26/15:56:08
0.568116, 0.565066, 143, 2019-10-26/16:37:31
0.568851, 0.565527, 144, 2019-10-26/17:18:52
0.568333, 0.565397, 145, 2019-10-26/18:00:18
