'Validation error', 'Training error', 'Epoch', 'D/T'
0.596285, 0.608441, 1, 2020-01-01/12:04:18
0.589574, 0.588241, 2, 2020-01-01/12:47:13
0.582619, 0.583144, 3, 2020-01-01/13:29:56
0.581855, 0.580271, 4, 2020-01-01/14:12:29
0.579808, 0.57837, 5, 2020-01-01/14:55:00
0.578124, 0.576854, 6, 2020-01-01/15:37:24
0.578176, 0.575994, 7, 2020-01-01/16:19:56
0.576956, 0.575191, 8, 2020-01-01/17:02:25
0.577747, 0.574792, 9, 2020-01-01/17:44:53
0.575654, 0.574714, 10, 2020-01-01/18:27:20
0.576166, 0.573677, 11, 2020-01-01/19:09:45
0.580225, 0.574288, 12, 2020-01-01/19:52:16
0.575562, 0.575082, 13, 2020-01-01/20:34:42
0.574561, 0.573599, 14, 2020-01-01/21:17:08
0.575103, 0.572479, 15, 2020-01-01/21:59:38
0.574411, 0.571456, 16, 2020-01-01/22:42:07
0.575024, 0.571513, 17, 2020-01-01/23:24:37
0.573034, 0.570408, 18, 2020-01-02/00:07:09
0.572256, 0.569537, 19, 2020-01-02/00:49:38
0.571042, 0.569344, 20, 2020-01-02/01:32:04
0.573725, 0.570137, 21, 2020-01-02/02:14:27
0.572723, 0.570062, 22, 2020-01-02/02:57:02
0.570724, 0.568694, 23, 2020-01-02/03:39:30
0.572214, 0.569221, 24, 2020-01-02/04:22:04
0.570052, 0.568611, 25, 2020-01-02/05:04:32
0.570543, 0.568636, 26, 2020-01-02/05:46:59
0.571666, 0.568774, 27, 2020-01-02/06:29:34
0.568353, 0.567741, 28, 2020-01-02/07:12:05
0.569599, 0.567578, 29, 2020-01-02/07:54:25
0.569496, 0.567628, 30, 2020-01-02/08:36:42
0.569359, 0.567636, 31, 2020-01-02/09:19:12
0.568049, 0.566972, 32, 2020-01-02/10:01:43
0.568279, 0.566856, 33, 2020-01-02/10:44:11
0.568823, 0.566931, 34, 2020-01-02/11:26:35
0.569991, 0.567071, 35, 2020-01-02/12:09:01
0.569487, 0.567054, 36, 2020-01-02/12:51:25
0.569071, 0.566647, 37, 2020-01-02/13:33:50
0.569081, 0.566032, 38, 2020-01-02/14:16:17
0.568697, 0.565921, 39, 2020-01-02/14:58:47
0.56865, 0.565538, 40, 2020-01-02/15:41:14
0.566986, 0.565645, 41, 2020-01-02/16:23:44
0.567958, 0.566058, 42, 2020-01-02/17:06:15
0.568697, 0.56562, 43, 2020-01-02/17:48:44
0.56669, 0.565514, 44, 2020-01-02/18:31:11
0.56891, 0.565341, 45, 2020-01-02/19:13:42
0.567594, 0.565172, 46, 2020-01-02/19:55:55
0.567047, 0.565262, 47, 2020-01-02/20:38:23
0.566418, 0.564925, 48, 2020-01-02/21:20:49
