batch,loss,size
0,0.26441967,8
1,0.2727113,8
2,0.19322452,8
3,0.15508468,8
4,0.1908897,8
5,0.13753566,8
6,0.120620176,8
7,0.13410832,8
8,0.08724344,8
9,0.12281468,8
10,0.08156904,8
11,0.07570231,8
12,0.103634305,8
13,0.09092152,8
14,0.059296876,8
15,0.06721145,8
16,0.08460566,8
17,0.097616605,8
18,0.07052914,8
19,0.09760783,8
20,0.08296544,8
21,0.058397204,8
22,0.08172591,8
23,0.047988825,8
24,0.0858713,8
25,0.061026674,8
26,0.08708085,8
27,0.08136331,8
28,0.07445796,8
29,0.07650666,8
30,0.047677763,8
31,0.08612135,8
32,0.048118636,8
33,0.064207844,8
34,0.07017722,8
35,0.07415895,8
36,0.064443,8
37,0.08419862,8
38,0.05393365,8
39,0.041832402,8
40,0.049873598,8
41,0.05723331,8
42,0.05839003,8
43,0.056860514,8
44,0.04236975,8
45,0.053101066,8
46,0.050551828,8
47,0.0451212,8
48,0.06885927,8
49,0.052581593,8
50,0.08305643,8
51,0.07988956,8
52,0.052641936,8
53,0.056717075,8
54,0.035677884,8
55,0.03851891,8
56,0.04219691,8
57,0.05579955,8
58,0.049604986,8
59,0.04533685,8
60,0.036529034,8
61,0.04393972,8
62,0.035707664,8
63,0.030302199,8
64,0.04652071,8
65,0.047637414,8
66,0.043610454,8
67,0.042933725,8
68,0.04919472,8
69,0.028615177,8
70,0.03180865,8
71,0.044209536,8
72,0.04423431,8
73,0.038141448,8
74,0.047820512,8
75,0.040098332,8
76,0.05058972,8
77,0.03767356,8
78,0.058898017,8
79,0.027692365,8
80,0.031539667,8
81,0.052148636,8
82,0.04738877,8
83,0.030831426,8
84,0.04185313,8
85,0.039581615,8
86,0.083757974,8
87,0.035312198,8
88,0.046090707,8
89,0.06434477,8
90,0.05177762,8
91,0.067501314,8
92,0.066558234,8
93,0.042153563,8
94,0.046030182,8
95,0.050816253,8
96,0.07199037,8
97,0.04123766,8
98,0.04244861,8
99,0.04483455,8
100,0.039026156,8
101,0.023333315,8
102,0.04434525,8
103,0.041763015,8
104,0.04356343,8
105,0.024131073,8
106,0.03732911,8
107,0.034518156,8
108,0.030007727,8
109,0.044803794,8
110,0.025471251,8
111,0.038774777,8
112,0.03379265,8
113,0.03265666,8
114,0.044497,8
115,0.032020696,8
116,0.05298925,8
117,0.036780935,8
118,0.035853256,8
119,0.03505699,8
120,0.036872398,8
121,0.02019795,8
122,0.042467877,8
123,0.038592078,8
124,0.03365971,8
125,0.034911435,8
126,0.057968073,8
127,0.029548345,8
128,0.040001538,8
129,0.070684284,8
130,0.035462458,8
131,0.04437433,8
132,0.04054417,8
133,0.0466102,8
134,0.047956716,8
135,0.04240646,8
136,0.038565964,8
137,0.028109036,8
138,0.023468055,8
139,0.03764191,8
140,0.035711274,8
141,0.036658127,8
142,0.027442332,8
143,0.026087329,8
144,0.031810876,8
145,0.02933252,8
146,0.06832776,8
147,0.02984068,8
148,0.026414318,8
149,0.036473125,8
150,0.028032495,8
151,0.02141264,8
152,0.031360436,8
153,0.034955572,8
154,0.034802724,8
155,0.022602087,8
156,0.049158104,8
157,0.053791746,8
158,0.030486824,8
159,0.024961514,8
160,0.026054984,8
161,0.06440627,8
162,0.037867125,8
163,0.02851894,8
164,0.024579965,8
165,0.03485939,8
166,0.028801821,8
167,0.031490784,8
168,0.030297607,8
169,0.043160737,8
170,0.041042708,8
171,0.04584693,8
172,0.024320584,8
173,0.058598775,8
174,0.04301093,8
175,0.019309226,8
176,0.027647974,8
177,0.052888583,8
178,0.04481247,8
179,0.04847837,8
180,0.030973602,8
181,0.031032246,8
182,0.042940434,8
183,0.032772314,8
184,0.02583025,8
185,0.029252911,8
186,0.026274225,8
187,0.041314755,8
188,0.028275387,8
189,0.057585236,8
190,0.029980933,8
191,0.057994276,8
192,0.036823526,8
193,0.022999994,8
194,0.03103696,8
195,0.025380798,8
196,0.035788294,8
197,0.032117777,8
198,0.028439159,8
199,0.03342239,8
200,0.03662767,8
201,0.039371397,8
202,0.04139209,8
203,0.05976374,8
204,0.031365074,8
205,0.03580575,8
206,0.023855297,8
207,0.039163657,8
208,0.03368865,8
209,0.029020363,8
210,0.032575857,8
211,0.031272687,8
212,0.036919747,8
213,0.039751243,8
214,0.023412522,8
215,0.03691836,8
216,0.027312975,8
217,0.028595071,8
218,0.026410853,8
219,0.039708793,8
220,0.019718977,8
221,0.039278854,8
222,0.021448243,8
223,0.032407176,8
224,0.047929816,8
225,0.045046985,8
226,0.025938133,8
227,0.04645961,8
228,0.024866575,8
229,0.050393224,8
230,0.0304649,8
231,0.05289738,8
232,0.06049151,8
233,0.029498331,8
234,0.04084323,8
235,0.03914804,8
236,0.027644534,8
237,0.028247682,8
238,0.027771736,8
239,0.02537421,8
240,0.040401127,8
241,0.027917873,8
242,0.030804181,8
243,0.04492022,8
244,0.021159593,8
245,0.04087796,8
246,0.02542077,8
247,0.028974613,8
248,0.028103892,8
249,0.046195358,8
250,0.023315046,8
251,0.030059213,8
252,0.024232106,8
253,0.02025903,8
254,0.029596137,8
255,0.03521587,8
256,0.034640457,8
257,0.032581627,8
258,0.03494328,8
259,0.04576008,8
260,0.03414417,8
261,0.020559186,8
262,0.044421215,8
263,0.04641157,8
264,0.04142657,8
265,0.04349191,8
266,0.030247537,8
267,0.03135563,8
268,0.02610341,8
269,0.029343072,8
270,0.025876677,8
271,0.030870048,8
272,0.018701825,8
273,0.03443307,8
274,0.037701484,8
275,0.05470128,8
276,0.02992219,8
277,0.036473237,8
278,0.046194058,8
279,0.025389561,8
280,0.028528912,8
281,0.029845592,8
282,0.022898162,8
283,0.026873363,8
284,0.035443522,8
285,0.036516204,8
286,0.033211313,8
287,0.028405463,8
288,0.023167696,8
289,0.026960053,8
290,0.035569593,8
291,0.033369068,8
292,0.031718362,8
293,0.026864337,8
294,0.036225516,8
295,0.028283568,8
296,0.033074044,8
297,0.028724808,8
298,0.044297773,8
299,0.018964265,8
300,0.01769884,8
301,0.018274786,8
302,0.0455226,8
303,0.041118946,8
304,0.019576073,8
305,0.029456079,8
306,0.03315779,8
307,0.030670667,8
308,0.055334426,8
309,0.0545806,8
310,0.022659926,8
311,0.02190313,8
312,0.021985581,8
313,0.02090507,8
314,0.023980472,8
315,0.02729225,8
316,0.03162784,8
317,0.025526708,8
318,0.034824982,8
319,0.03279096,8
320,0.05773698,8
321,0.033944458,8
322,0.035425793,8
323,0.022487396,8
324,0.044315446,8
325,0.04006077,8
326,0.02022835,8
327,0.038489144,8
328,0.037307113,8
329,0.03192689,8
330,0.042217433,8
331,0.01746504,8
332,0.03420985,8
333,0.043643862,8
334,0.037489027,8
335,0.04040423,8
336,0.033472043,8
337,0.036973614,8
338,0.019262524,8
339,0.047517914,8
340,0.02327029,8
341,0.039658602,8
342,0.019700704,8
343,0.049209088,8
344,0.03176791,8
345,0.028813774,8
346,0.022893908,8
347,0.027188959,8
348,0.029320812,8
349,0.030261263,8
350,0.025789764,8
351,0.030493459,8
352,0.058063205,8
353,0.037512843,8
354,0.029215157,8
355,0.044408076,8
356,0.031747296,8
357,0.028565863,8
358,0.02341095,8
359,0.02626384,8
360,0.03573166,8
361,0.030371765,8
362,0.031997316,8
363,0.04260699,8
364,0.023824304,8
365,0.0405746,8
366,0.021542188,8
367,0.040004555,8
368,0.055233996,8
369,0.018368471,8
370,0.018039498,8
371,0.045000676,8
372,0.027699465,8
373,0.033783846,8
374,0.032236416,8
375,0.033233676,8
376,0.047112077,8
377,0.025460301,8
378,0.041965242,8
379,0.031656604,8
380,0.024659233,8
381,0.032945577,8
382,0.023478655,8
383,0.03597892,8
384,0.02593292,8
385,0.03012807,8
386,0.03327384,8
387,0.03241675,8
388,0.020774934,8
389,0.030404659,8
390,0.01987636,8
391,0.030311245,8
392,0.040416654,8
393,0.021785438,8
394,0.049539704,8
395,0.034728333,8
396,0.042408902,8
397,0.02983422,8
398,0.037705433,8
399,0.04201857,8
400,0.038167424,8
401,0.045773625,8
402,0.021485547,8
403,0.030057522,8
404,0.03537189,8
405,0.034521453,8
406,0.029628823,8
407,0.034702636,8
408,0.035464097,8
409,0.024606155,8
410,0.035612505,8
411,0.040704522,8
412,0.031860597,8
413,0.030476442,8
414,0.041243892,8
415,0.033437274,8
416,0.018512515,8
417,0.029157462,8
418,0.026495423,8
419,0.018972907,8
420,0.023533406,8
421,0.029418437,8
422,0.036393628,8
423,0.02648324,8
424,0.027605655,8
425,0.029669039,8
426,0.02391308,8
427,0.04024759,8
428,0.033931937,8
429,0.021463921,8
430,0.021911915,8
431,0.03384665,8
432,0.029115994,8
433,0.024005782,8
434,0.025898587,8
435,0.037483577,8
436,0.02781301,8
437,0.022038136,8
438,0.05334527,8
439,0.050999448,8
440,0.045478214,8
441,0.026474,8
442,0.027912194,8
443,0.02837189,8
444,0.050545618,8
445,0.03047143,8
446,0.021884149,8
447,0.05057832,8
448,0.023741439,8
449,0.029976275,8
450,0.035708647,8
451,0.029069345,8
452,0.022542363,8
453,0.020708706,8
454,0.028609212,8
455,0.017540129,8
456,0.02271544,8
457,0.03277821,8
458,0.018082518,8
459,0.023537833,8
460,0.029461728,8
461,0.016890734,8
462,0.045579102,8
463,0.037484534,8
464,0.028498592,8
465,0.03069083,8
466,0.026194388,8
467,0.021496758,8
468,0.032354973,8
469,0.02303587,8
470,0.024648894,8
471,0.03438836,8
472,0.029904298,8
473,0.03591578,8
474,0.03550428,8
475,0.031572137,8
476,0.02824242,8
477,0.03523206,8
478,0.042085387,8
479,0.037373424,8
480,0.04180013,8
481,0.025217509,8
482,0.025840767,8
483,0.030592851,8
484,0.036352027,8
485,0.035656676,8
486,0.02343119,8
487,0.029408656,8
488,0.018152198,8
489,0.026807308,8
490,0.024473578,8
491,0.037307397,8
492,0.021254618,8
493,0.01733119,8
494,0.02342276,8
495,0.025897842,8
496,0.020896584,8
497,0.025907394,8
498,0.02520564,8
499,0.036467988,8
500,0.024691278,8
501,0.033809908,8
502,0.034853593,8
503,0.031076703,8
504,0.03407952,8
505,0.03053519,8
506,0.030812014,8
507,0.047677428,8
508,0.023570178,8
509,0.03618016,8
510,0.031276204,8
511,0.037518103,8
512,0.030918028,8
513,0.0446833,8
514,0.031016946,8
515,0.0399435,8
516,0.025421651,8
517,0.03379131,8
518,0.031473145,8
519,0.039948333,8
520,0.03831636,8
521,0.038007453,8
522,0.028797284,8
523,0.03255687,8
524,0.018369798,8
525,0.03338555,8
526,0.032239098,8
527,0.029328994,8
528,0.03239757,8
529,0.035702653,8
530,0.028108375,8
531,0.018116087,8
532,0.017792141,8
533,0.037584133,8
534,0.0277339,8
535,0.028697552,8
536,0.0402925,8
537,0.02737328,8
538,0.041170646,8
539,0.036993403,8
540,0.033392914,8
541,0.048053496,8
542,0.027257787,8
543,0.024097117,8
544,0.02386648,8
545,0.021046642,8
546,0.036992464,8
547,0.028901124,8
548,0.03201073,8
549,0.027170982,8
550,0.035201948,8
551,0.037642147,8
552,0.029899385,8
553,0.022035057,8
554,0.022527607,8
555,0.072518304,8
556,0.027887186,8
557,0.031067243,8
558,0.020622844,8
559,0.030981062,8
560,0.032142643,8
561,0.029389732,8
562,0.033327997,8
563,0.01859877,8
564,0.03301468,8
565,0.03765652,8
566,0.025790565,8
567,0.02537292,8
568,0.028650032,8
569,0.029236602,8
570,0.018881265,8
571,0.03012898,8
572,0.022515925,8
573,0.02234392,8
574,0.020090701,8
575,0.027761394,8
576,0.026075464,8
577,0.023802022,8
578,0.025364101,8
579,0.027738377,8
580,0.018304309,8
581,0.018378554,8
582,0.02640571,8
583,0.059461962,8
584,0.015705772,8
585,0.021907452,8
586,0.029357567,8
587,0.036125436,8
588,0.03532854,8
589,0.026844261,8
590,0.018707704,8
591,0.030241737,8
592,0.024669735,8
593,0.015340781,8
594,0.032259524,8
595,0.027959675,8
596,0.03308637,8
597,0.040046908,8
