noise_src, snr_db, CSIG, CBAK, COVL, PESQ, STOI
SIGNAL019.wav, -5, 2.40, 1.82, 1.73, 1.22, 65.55
SIGNAL019.wav, 0, 3.08, 2.28, 2.29, 1.59, 81.90
SIGNAL019.wav, 5, 3.64, 2.73, 2.83, 2.07, 90.36
SIGNAL019.wav, 10, 4.11, 3.17, 3.32, 2.55, 94.53
SIGNAL019.wav, 15, 4.52, 3.62, 3.78, 3.03, 96.98
26270.wav, -5, 2.28, 1.94, 1.69, 1.27, 72.38
26270.wav, 0, 2.79, 2.29, 2.10, 1.53, 82.64
26270.wav, 5, 3.27, 2.70, 2.56, 1.92, 89.21
26270.wav, 10, 3.73, 3.13, 3.04, 2.37, 93.23
26270.wav, 15, 4.15, 3.57, 3.50, 2.85, 95.79
SIGNAL020.wav, -5, 2.70, 2.06, 2.00, 1.42, 77.97
SIGNAL020.wav, 0, 3.12, 2.40, 2.39, 1.74, 86.22
SIGNAL020.wav, 5, 3.55, 2.76, 2.83, 2.16, 91.61
SIGNAL020.wav, 10, 4.02, 3.16, 3.33, 2.67, 95.05
SIGNAL020.wav, 15, 4.40, 3.53, 3.73, 3.07, 97.07
SIGNAL021.wav, -5, 2.47, 1.97, 1.79, 1.27, 70.08
SIGNAL021.wav, 0, 3.02, 2.36, 2.26, 1.59, 82.02
SIGNAL021.wav, 5, 3.47, 2.75, 2.69, 1.97, 89.20
SIGNAL021.wav, 10, 3.92, 3.18, 3.17, 2.44, 93.84
SIGNAL021.wav, 15, 4.30, 3.58, 3.58, 2.86, 96.57
