noise_src, snr_db, CSIG, CBAK, COVL, PESQ, STOI
SIGNAL019.wav, -5, 2.20, 1.63, 1.58, 1.14, 63.55
SIGNAL019.wav, 0, 2.83, 2.03, 2.05, 1.42, 78.44
SIGNAL019.wav, 5, 3.38, 2.48, 2.56, 1.81, 88.07
SIGNAL019.wav, 10, 3.89, 2.96, 3.08, 2.30, 93.56
SIGNAL019.wav, 15, 4.36, 3.45, 3.60, 2.83, 96.50
26270.wav, -5, 1.87, 1.69, 1.39, 1.14, 67.79
26270.wav, 0, 2.37, 2.03, 1.76, 1.31, 79.66
26270.wav, 5, 2.91, 2.43, 2.22, 1.63, 87.82
26270.wav, 10, 3.41, 2.87, 2.71, 2.06, 92.64
26270.wav, 15, 3.89, 3.32, 3.20, 2.54, 95.42
SIGNAL020.wav, -5, 2.38, 1.84, 1.73, 1.24, 72.29
SIGNAL020.wav, 0, 2.83, 2.18, 2.12, 1.53, 83.12
SIGNAL020.wav, 5, 3.25, 2.53, 2.53, 1.90, 89.68
SIGNAL020.wav, 10, 3.69, 2.91, 2.99, 2.35, 93.96
SIGNAL020.wav, 15, 4.09, 3.28, 3.40, 2.75, 96.46
SIGNAL021.wav, -5, 2.17, 1.76, 1.55, 1.15, 66.19
SIGNAL021.wav, 0, 2.67, 2.09, 1.93, 1.33, 78.52
SIGNAL021.wav, 5, 3.14, 2.47, 2.36, 1.67, 87.12
SIGNAL021.wav, 10, 3.61, 2.89, 2.83, 2.11, 92.47
SIGNAL021.wav, 15, 3.99, 3.28, 3.23, 2.48, 95.60
