noise_src, snr_db, CSIG, CBAK, COVL, PESQ, STOI
SIGNAL019.wav, -5, 1.00, 1.41, 1.00, 1.04, 37.91
SIGNAL019.wav, 0, 1.07, 1.64, 1.02, 1.07, 66.03
SIGNAL019.wav, 5, 1.38, 1.99, 1.19, 1.18, 83.27
SIGNAL019.wav, 10, 2.13, 2.38, 1.71, 1.45, 91.77
SIGNAL019.wav, 15, 2.90, 2.88, 2.35, 1.91, 95.83
26270.wav, -5, 1.00, 1.56, 1.00, 1.05, 50.47
26270.wav, 0, 1.00, 1.78, 1.00, 1.07, 71.00
26270.wav, 5, 1.14, 2.12, 1.08, 1.17, 84.81
26270.wav, 10, 1.71, 2.49, 1.49, 1.43, 91.51
26270.wav, 15, 2.63, 2.97, 2.22, 1.89, 94.81
SIGNAL020.wav, -5, 1.00, 1.81, 1.00, 1.06, 55.96
SIGNAL020.wav, 0, 1.00, 1.96, 1.00, 1.09, 74.52
SIGNAL020.wav, 5, 1.00, 2.15, 1.00, 1.18, 84.59
SIGNAL020.wav, 10, 1.01, 2.39, 1.03, 1.40, 91.84
SIGNAL020.wav, 15, 1.31, 2.73, 1.45, 1.77, 95.66
SIGNAL021.wav, -5, 1.00, 1.71, 1.00, 1.05, 53.22
SIGNAL021.wav, 0, 1.00, 1.89, 1.00, 1.06, 66.22
SIGNAL021.wav, 5, 1.00, 2.15, 1.00, 1.14, 79.51
SIGNAL021.wav, 10, 1.16, 2.45, 1.14, 1.32, 88.73
SIGNAL021.wav, 15, 1.72, 2.78, 1.60, 1.58, 93.81
