noise_src, snr_db, CSIG, CBAK, COVL, PESQ, STOI
SIGNAL019.wav, -5, 2.17, 1.63, 1.56, 1.15, 62.63
SIGNAL019.wav, 0, 2.81, 2.04, 2.05, 1.42, 77.96
SIGNAL019.wav, 5, 3.34, 2.48, 2.52, 1.77, 87.92
SIGNAL019.wav, 10, 3.87, 2.99, 3.07, 2.30, 93.62
SIGNAL019.wav, 15, 4.35, 3.49, 3.58, 2.82, 96.58
26270.wav, -5, 1.89, 1.72, 1.40, 1.15, 66.94
26270.wav, 0, 2.40, 2.06, 1.78, 1.32, 79.29
26270.wav, 5, 2.94, 2.48, 2.25, 1.65, 87.80
26270.wav, 10, 3.44, 2.92, 2.73, 2.08, 92.73
26270.wav, 15, 3.90, 3.38, 3.22, 2.55, 95.51
SIGNAL020.wav, -5, 2.41, 1.88, 1.76, 1.26, 71.80
SIGNAL020.wav, 0, 2.86, 2.23, 2.16, 1.57, 82.95
SIGNAL020.wav, 5, 3.27, 2.59, 2.57, 1.95, 89.66
SIGNAL020.wav, 10, 3.71, 2.98, 3.03, 2.41, 94.01
SIGNAL020.wav, 15, 4.11, 3.35, 3.44, 2.80, 96.53
SIGNAL021.wav, -5, 2.18, 1.79, 1.57, 1.16, 65.40
SIGNAL021.wav, 0, 2.68, 2.14, 1.95, 1.36, 78.08
SIGNAL021.wav, 5, 3.15, 2.54, 2.39, 1.71, 86.98
SIGNAL021.wav, 10, 3.60, 2.96, 2.84, 2.13, 92.46
SIGNAL021.wav, 15, 3.97, 3.34, 3.22, 2.48, 95.64
