noise_src, snr_db, CSIG, CBAK, COVL, PESQ, STOI
SIGNAL019.wav, -5, 2.18, 1.63, 1.57, 1.15, 62.84
SIGNAL019.wav, 0, 2.81, 2.03, 2.04, 1.41, 78.25
SIGNAL019.wav, 5, 3.33, 2.46, 2.51, 1.75, 88.09
SIGNAL019.wav, 10, 3.86, 2.95, 3.04, 2.25, 93.62
SIGNAL019.wav, 15, 4.33, 3.45, 3.55, 2.76, 96.55
26270.wav, -5, 1.88, 1.71, 1.39, 1.14, 67.21
26270.wav, 0, 2.39, 2.05, 1.77, 1.30, 79.55
26270.wav, 5, 2.92, 2.45, 2.22, 1.61, 87.91
26270.wav, 10, 3.39, 2.87, 2.68, 2.01, 92.72
26270.wav, 15, 3.85, 3.32, 3.15, 2.46, 95.46
SIGNAL020.wav, -5, 2.41, 1.87, 1.76, 1.26, 72.03
SIGNAL020.wav, 0, 2.85, 2.21, 2.15, 1.55, 83.10
SIGNAL020.wav, 5, 3.26, 2.57, 2.55, 1.92, 89.73
SIGNAL020.wav, 10, 3.69, 2.94, 2.99, 2.35, 94.01
SIGNAL020.wav, 15, 4.08, 3.30, 3.39, 2.73, 96.50
SIGNAL021.wav, -5, 2.18, 1.79, 1.56, 1.16, 65.65
SIGNAL021.wav, 0, 2.68, 2.13, 1.94, 1.35, 78.37
SIGNAL021.wav, 5, 3.15, 2.52, 2.37, 1.68, 87.15
SIGNAL021.wav, 10, 3.59, 2.92, 2.81, 2.08, 92.53
SIGNAL021.wav, 15, 3.96, 3.30, 3.19, 2.44, 95.66
