noise_src, snr_db, CSIG, CBAK, COVL, PESQ, STOI
SIGNAL019.wav, -5, 2.18, 1.62, 1.57, 1.14, 62.97
SIGNAL019.wav, 0, 2.81, 2.01, 2.04, 1.40, 78.42
SIGNAL019.wav, 5, 3.33, 2.44, 2.49, 1.73, 88.18
SIGNAL019.wav, 10, 3.85, 2.93, 3.02, 2.22, 93.72
SIGNAL019.wav, 15, 4.31, 3.43, 3.52, 2.72, 96.62
26270.wav, -5, 1.88, 1.69, 1.39, 1.14, 67.38
26270.wav, 0, 2.38, 2.03, 1.76, 1.29, 79.70
26270.wav, 5, 2.89, 2.42, 2.19, 1.58, 87.99
26270.wav, 10, 3.35, 2.84, 2.63, 1.95, 92.77
26270.wav, 15, 3.80, 3.28, 3.09, 2.40, 95.50
SIGNAL020.wav, -5, 2.40, 1.86, 1.75, 1.25, 72.16
SIGNAL020.wav, 0, 2.84, 2.19, 2.14, 1.54, 83.19
SIGNAL020.wav, 5, 3.25, 2.55, 2.53, 1.90, 89.80
SIGNAL020.wav, 10, 3.67, 2.91, 2.96, 2.31, 94.08
SIGNAL020.wav, 15, 4.06, 3.28, 3.36, 2.69, 96.56
SIGNAL021.wav, -5, 2.18, 1.78, 1.56, 1.15, 65.80
SIGNAL021.wav, 0, 2.67, 2.11, 1.94, 1.34, 78.53
SIGNAL021.wav, 5, 3.13, 2.50, 2.35, 1.65, 87.28
SIGNAL021.wav, 10, 3.58, 2.91, 2.80, 2.06, 92.65
SIGNAL021.wav, 15, 3.93, 3.28, 3.14, 2.38, 95.76
