noise_src, snr_db, CSIG, CBAK, COVL, PESQ, STOI
SIGNAL019.wav, -5, 1.60, 1.53, 1.25, 1.11, 56.71
SIGNAL019.wav, 0, 2.21, 1.92, 1.65, 1.28, 75.33
SIGNAL019.wav, 5, 2.75, 2.33, 2.09, 1.55, 86.98
SIGNAL019.wav, 10, 3.35, 2.83, 2.66, 2.03, 93.37
SIGNAL019.wav, 15, 3.91, 3.34, 3.22, 2.56, 96.52
26270.wav, -5, 1.58, 1.69, 1.21, 1.10, 62.22
26270.wav, 0, 2.09, 2.04, 1.56, 1.24, 77.22
26270.wav, 5, 2.65, 2.45, 2.04, 1.53, 87.01
26270.wav, 10, 3.23, 2.91, 2.59, 2.01, 92.46
26270.wav, 15, 3.79, 3.39, 3.15, 2.53, 95.42
SIGNAL020.wav, -5, 1.94, 1.83, 1.46, 1.17, 68.55
SIGNAL020.wav, 0, 2.17, 2.12, 1.68, 1.34, 81.39
SIGNAL020.wav, 5, 2.52, 2.43, 2.02, 1.65, 88.88
SIGNAL020.wav, 10, 3.05, 2.84, 2.55, 2.15, 93.70
SIGNAL020.wav, 15, 3.62, 3.25, 3.10, 2.65, 96.41
SIGNAL021.wav, -5, 1.74, 1.78, 1.31, 1.12, 60.53
SIGNAL021.wav, 0, 2.11, 2.08, 1.60, 1.24, 75.25
SIGNAL021.wav, 5, 2.53, 2.43, 1.96, 1.49, 85.52
SIGNAL021.wav, 10, 3.01, 2.82, 2.40, 1.85, 91.69
SIGNAL021.wav, 15, 3.45, 3.19, 2.81, 2.20, 95.27
