noise_src, snr_db, CSIG, CBAK, COVL, PESQ, STOI
SIGNAL019.wav, -5, 2.32, 1.67, 1.66, 1.19, 66.39
SIGNAL019.wav, 0, 2.91, 2.08, 2.12, 1.45, 80.92
SIGNAL019.wav, 5, 3.45, 2.53, 2.61, 1.85, 89.69
SIGNAL019.wav, 10, 3.99, 3.06, 3.19, 2.42, 94.48
SIGNAL019.wav, 15, 4.42, 3.52, 3.66, 2.90, 97.00
26270.wav, -5, 2.05, 1.76, 1.49, 1.17, 71.06
26270.wav, 0, 2.59, 2.14, 1.92, 1.40, 82.07
26270.wav, 5, 3.11, 2.57, 2.40, 1.77, 89.16
26270.wav, 10, 3.62, 3.03, 2.91, 2.24, 93.35
26270.wav, 15, 4.07, 3.49, 3.40, 2.73, 95.82
SIGNAL020.wav, -5, 2.57, 1.93, 1.88, 1.35, 75.55
SIGNAL020.wav, 0, 2.99, 2.28, 2.28, 1.68, 85.36
SIGNAL020.wav, 5, 3.41, 2.65, 2.71, 2.10, 91.12
SIGNAL020.wav, 10, 3.84, 3.05, 3.17, 2.55, 94.74
SIGNAL020.wav, 15, 4.22, 3.41, 3.56, 2.93, 96.90
SIGNAL021.wav, -5, 2.36, 1.87, 1.69, 1.21, 69.80
SIGNAL021.wav, 0, 2.89, 2.26, 2.14, 1.52, 81.78
SIGNAL021.wav, 5, 3.34, 2.65, 2.57, 1.88, 88.94
SIGNAL021.wav, 10, 3.75, 3.03, 2.98, 2.26, 93.40
SIGNAL021.wav, 15, 4.17, 3.46, 3.44, 2.73, 96.44
