noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.05,1.25,33.16,6.95
26270,-15,1.04,1.11,39.57,14.44
26270,-10,1.06,1.23,50.22,25.25
26270,-5,1.13,1.39,63.35,41.05
26270,0,1.30,1.73,76.69,58.66
26270,5,1.61,2.20,86.18,72.77
26270,10,2.04,2.72,91.66,82.29
26270,15,2.51,3.16,94.69,88.52
26270,20,2.94,3.53,96.43,92.60
26270,25,3.35,3.82,97.59,95.27
26270,30,3.69,4.04,98.43,97.00
SIGNAL019,-20,1.05,1.12,29.20,5.22
SIGNAL019,-15,1.07,1.16,32.88,10.53
SIGNAL019,-10,1.06,1.17,42.97,20.25
SIGNAL019,-5,1.16,1.38,59.43,36.62
SIGNAL019,0,1.38,1.72,74.71,56.32
SIGNAL019,5,1.75,2.25,86.23,73.02
SIGNAL019,10,2.22,2.79,92.81,84.23
SIGNAL019,15,2.74,3.29,96.10,90.50
SIGNAL019,20,3.16,3.67,97.77,94.15
SIGNAL019,25,3.49,3.94,98.57,96.13
SIGNAL019,30,3.76,4.12,98.98,97.35
SIGNAL020,-20,1.04,1.08,35.05,2.12
SIGNAL020,-15,1.04,1.10,41.06,7.63
SIGNAL020,-10,1.08,1.24,52.38,22.61
SIGNAL020,-5,1.25,1.57,69.67,44.74
SIGNAL020,0,1.52,1.98,81.73,62.10
SIGNAL020,5,1.87,2.43,89.03,74.57
SIGNAL020,10,2.34,2.88,93.44,83.00
SIGNAL020,15,2.76,3.26,95.95,88.95
SIGNAL020,20,3.08,3.61,97.50,92.86
SIGNAL020,25,3.37,3.89,98.50,95.44
SIGNAL020,30,3.63,4.08,99.07,97.03
SIGNAL021,-20,1.05,1.14,35.81,1.34
SIGNAL021,-15,1.08,1.14,39.64,4.90
SIGNAL021,-10,1.04,1.15,48.30,16.85
SIGNAL021,-5,1.12,1.34,60.85,34.02
SIGNAL021,0,1.33,1.71,76.14,54.86
SIGNAL021,5,1.68,2.26,86.58,71.35
SIGNAL021,10,2.12,2.76,92.36,81.88
SIGNAL021,15,2.47,3.16,95.61,88.33
SIGNAL021,20,2.92,3.53,97.39,92.47
SIGNAL021,25,3.32,3.78,98.41,95.16
SIGNAL021,30,3.62,3.99,98.91,96.69
