noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.04,1.10,33.43,7.51
26270,-15,1.03,1.10,40.39,14.71
26270,-10,1.06,1.20,51.12,25.77
26270,-5,1.13,1.40,66.24,43.67
26270,0,1.31,1.73,79.03,61.04
26270,5,1.60,2.18,87.07,74.06
26270,10,2.02,2.71,92.33,83.20
26270,15,2.51,3.17,95.44,89.17
26270,20,2.94,3.54,97.11,92.99
26270,25,3.29,3.83,98.15,95.41
26270,30,3.60,4.03,98.88,97.20
SIGNAL019,-20,1.09,1.12,29.84,5.17
SIGNAL019,-15,1.21,1.18,34.35,10.03
SIGNAL019,-10,1.06,1.15,44.42,20.60
SIGNAL019,-5,1.15,1.38,59.76,37.30
SIGNAL019,0,1.36,1.74,76.37,57.57
SIGNAL019,5,1.74,2.23,87.42,73.56
SIGNAL019,10,2.23,2.75,93.46,84.56
SIGNAL019,15,2.72,3.25,96.46,90.83
SIGNAL019,20,3.14,3.62,97.98,94.43
SIGNAL019,25,3.47,3.88,98.74,96.47
SIGNAL019,30,3.77,4.09,99.16,97.73
SIGNAL020,-20,1.07,1.11,33.42,1.92
SIGNAL020,-15,1.04,1.10,39.71,7.68
SIGNAL020,-10,1.07,1.23,52.68,22.94
SIGNAL020,-5,1.25,1.57,69.91,45.42
SIGNAL020,0,1.54,2.00,82.46,62.87
SIGNAL020,5,1.89,2.42,89.60,75.25
SIGNAL020,10,2.31,2.83,93.81,83.63
SIGNAL020,15,2.73,3.20,96.33,89.53
SIGNAL020,20,3.07,3.57,97.82,93.33
SIGNAL020,25,3.38,3.84,98.69,95.79
SIGNAL020,30,3.65,4.03,99.22,97.40
SIGNAL021,-20,1.06,1.12,35.29,2.12
SIGNAL021,-15,1.04,1.14,39.35,6.17
SIGNAL021,-10,1.04,1.18,47.41,16.66
SIGNAL021,-5,1.12,1.35,62.25,35.56
SIGNAL021,0,1.34,1.76,77.88,56.53
SIGNAL021,5,1.68,2.24,87.15,72.38
SIGNAL021,10,2.11,2.74,92.68,82.38
SIGNAL021,15,2.46,3.12,95.74,88.39
SIGNAL021,20,2.86,3.46,97.45,92.60
SIGNAL021,25,3.23,3.72,98.40,95.35
SIGNAL021,30,3.55,3.93,98.98,96.95
