noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.05,1.13,36.37,8.36
26270,-15,1.04,1.15,46.10,17.65
26270,-10,1.08,1.25,58.04,30.27
26270,-5,1.17,1.49,71.08,47.67
26270,0,1.40,1.93,82.08,64.29
26270,5,1.77,2.43,89.16,76.39
26270,10,2.24,2.91,93.35,84.77
26270,15,2.73,3.34,95.82,90.00
26270,20,3.14,3.71,97.38,93.55
26270,25,3.49,3.96,98.40,95.97
26270,30,3.76,4.13,99.06,97.58
SIGNAL019,-20,1.05,1.16,33.28,6.37
SIGNAL019,-15,1.05,1.16,37.47,12.46
SIGNAL019,-10,1.06,1.24,48.88,24.69
SIGNAL019,-5,1.19,1.47,66.41,43.04
SIGNAL019,0,1.45,1.91,80.94,62.65
SIGNAL019,5,1.89,2.45,89.76,77.17
SIGNAL019,10,2.42,3.01,94.48,86.37
SIGNAL019,15,2.90,3.46,97.00,91.80
SIGNAL019,20,3.33,3.79,98.28,94.95
SIGNAL019,25,3.66,4.04,98.91,96.78
SIGNAL019,30,3.91,4.21,99.30,97.91
SIGNAL020,-20,1.14,1.20,36.57,3.78
SIGNAL020,-15,1.06,1.18,46.45,13.63
SIGNAL020,-10,1.13,1.35,61.25,31.14
SIGNAL020,-5,1.35,1.73,75.55,52.55
SIGNAL020,0,1.68,2.16,85.36,67.84
SIGNAL020,5,2.10,2.58,91.12,78.29
SIGNAL020,10,2.55,3.00,94.74,85.97
SIGNAL020,15,2.93,3.39,96.90,91.21
SIGNAL020,20,3.27,3.72,98.16,94.45
SIGNAL020,25,3.56,3.99,98.89,96.54
SIGNAL020,30,3.79,4.16,99.30,97.83
SIGNAL021,-20,1.06,1.20,37.61,6.47
SIGNAL021,-15,1.04,1.14,43.28,13.77
SIGNAL021,-10,1.08,1.25,55.17,27.46
SIGNAL021,-5,1.21,1.52,69.81,44.25
SIGNAL021,0,1.52,1.95,81.78,62.34
SIGNAL021,5,1.88,2.44,88.94,75.19
SIGNAL021,10,2.26,2.89,93.40,83.78
SIGNAL021,15,2.73,3.35,96.43,90.10
SIGNAL021,20,3.11,3.67,98.02,93.93
SIGNAL021,25,3.48,3.90,98.86,96.23
SIGNAL021,30,3.71,4.07,99.29,97.54
