noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.04,1.11,34.11,7.56
26270,-15,1.03,1.11,41.12,14.86
26270,-10,1.06,1.21,51.87,25.96
26270,-5,1.14,1.41,66.72,43.56
26270,0,1.33,1.76,79.03,60.66
26270,5,1.65,2.21,86.96,73.69
26270,10,2.10,2.77,92.23,82.99
26270,15,2.62,3.25,95.36,89.07
26270,20,3.08,3.64,97.05,92.94
26270,25,3.45,3.93,98.09,95.39
26270,30,3.74,4.12,98.81,97.13
SIGNAL019,-20,1.10,1.19,30.61,5.20
SIGNAL019,-15,1.14,1.24,35.22,10.19
SIGNAL019,-10,1.05,1.16,45.41,20.89
SIGNAL019,-5,1.16,1.39,60.51,37.43
SIGNAL019,0,1.38,1.76,76.49,57.38
SIGNAL019,5,1.80,2.26,87.35,73.42
SIGNAL019,10,2.31,2.80,93.35,84.44
SIGNAL019,15,2.82,3.31,96.33,90.69
SIGNAL019,20,3.25,3.69,97.85,94.29
SIGNAL019,25,3.56,3.95,98.61,96.29
SIGNAL019,30,3.85,4.15,99.07,97.56
SIGNAL020,-20,1.08,1.10,33.84,1.94
SIGNAL020,-15,1.04,1.10,40.20,7.80
SIGNAL020,-10,1.06,1.22,53.39,23.17
SIGNAL020,-5,1.24,1.56,70.18,45.13
SIGNAL020,0,1.55,1.98,82.51,62.51
SIGNAL020,5,1.90,2.42,89.55,74.91
SIGNAL020,10,2.34,2.85,93.74,83.42
SIGNAL020,15,2.79,3.25,96.25,89.40
SIGNAL020,20,3.17,3.63,97.74,93.23
SIGNAL020,25,3.51,3.92,98.62,95.69
SIGNAL020,30,3.74,4.10,99.15,97.28
SIGNAL021,-20,1.04,1.18,35.50,2.13
SIGNAL021,-15,1.04,1.14,39.56,6.23
SIGNAL021,-10,1.04,1.14,47.92,16.89
SIGNAL021,-5,1.12,1.36,62.75,35.61
SIGNAL021,0,1.34,1.74,77.94,56.06
SIGNAL021,5,1.69,2.22,87.03,71.86
SIGNAL021,10,2.15,2.74,92.56,82.05
SIGNAL021,15,2.53,3.15,95.61,88.16
SIGNAL021,20,2.96,3.53,97.36,92.44
SIGNAL021,25,3.34,3.80,98.31,95.18
SIGNAL021,30,3.66,4.02,98.91,96.86
