noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.17,1.17,10.26,2.24
26270,-15,1.09,1.10,12.28,3.82
26270,-10,1.06,1.07,26.84,9.28
26270,-5,1.05,1.09,47.71,24.35
26270,0,1.07,1.22,70.24,48.40
26270,5,1.18,1.55,83.28,67.07
26270,10,1.42,2.03,90.32,79.81
26270,15,1.82,2.57,94.32,87.04
26270,20,2.34,3.13,96.32,91.74
26270,25,2.81,3.51,97.60,94.33
26270,30,3.20,3.82,98.30,96.16
SIGNAL019,-20,1.16,1.14,3.76,0.23
SIGNAL019,-15,1.11,1.15,4.01,1.08
SIGNAL019,-10,1.08,1.09,13.33,2.49
SIGNAL019,-5,1.05,1.06,37.58,17.56
SIGNAL019,0,1.07,1.13,65.17,43.50
SIGNAL019,5,1.17,1.39,82.76,66.35
SIGNAL019,10,1.41,1.86,91.45,80.79
SIGNAL019,15,1.82,2.45,95.45,88.62
SIGNAL019,20,2.28,3.00,97.36,92.82
SIGNAL019,25,2.70,3.43,98.44,95.51
SIGNAL019,30,3.11,3.79,98.90,97.01
SIGNAL020,-20,1.17,1.08,0.91,0.27
SIGNAL020,-15,nan,nan,2.66,-0.12
SIGNAL020,-10,1.07,1.08,22.18,1.88
SIGNAL020,-5,1.06,1.13,52.96,26.51
SIGNAL020,0,1.09,1.27,73.37,49.56
SIGNAL020,5,1.18,1.52,84.20,67.28
SIGNAL020,10,1.37,1.87,91.11,79.03
SIGNAL020,15,1.71,2.37,94.91,86.65
SIGNAL020,20,2.12,2.87,96.89,90.80
SIGNAL020,25,2.64,3.37,98.16,94.11
SIGNAL020,30,3.04,3.68,98.86,96.39
SIGNAL021,-20,1.39,1.07,7.06,-0.78
SIGNAL021,-15,1.25,1.07,8.58,-0.33
SIGNAL021,-10,1.07,1.08,14.29,1.68
SIGNAL021,-5,1.05,1.08,38.52,14.65
SIGNAL021,0,1.07,1.20,64.59,40.16
SIGNAL021,5,1.15,1.45,80.00,60.96
SIGNAL021,10,1.32,1.85,89.02,74.89
SIGNAL021,15,1.58,2.29,93.50,83.59
SIGNAL021,20,1.94,2.73,96.18,89.17
SIGNAL021,25,2.33,3.11,97.71,92.99
SIGNAL021,30,2.80,3.50,98.50,95.57
