noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.04,1.09,33.39,7.51
26270,-15,1.04,1.11,40.29,14.62
26270,-10,1.07,1.20,50.87,25.49
26270,-5,1.15,1.42,65.81,43.20
26270,0,1.34,1.77,78.60,60.56
26270,5,1.65,2.25,86.86,73.85
26270,10,2.10,2.81,92.23,83.19
26270,15,2.62,3.30,95.40,89.22
26270,20,3.08,3.67,97.08,93.04
26270,25,3.42,3.92,98.10,95.42
26270,30,3.69,4.09,98.81,97.13
SIGNAL019,-20,1.09,1.11,29.79,5.15
SIGNAL019,-15,1.16,1.18,34.28,10.01
SIGNAL019,-10,1.06,1.16,44.29,20.53
SIGNAL019,-5,1.16,1.37,59.38,36.95
SIGNAL019,0,1.37,1.75,75.84,57.20
SIGNAL019,5,1.78,2.28,87.18,73.47
SIGNAL019,10,2.29,2.83,93.36,84.58
SIGNAL019,15,2.82,3.35,96.39,90.84
SIGNAL019,20,3.23,3.70,97.91,94.39
SIGNAL019,25,3.52,3.94,98.68,96.38
SIGNAL019,30,3.79,4.13,99.11,97.63
SIGNAL020,-20,1.07,1.11,33.41,1.91
SIGNAL020,-15,1.06,1.09,39.69,7.66
SIGNAL020,-10,1.07,1.22,52.46,22.66
SIGNAL020,-5,1.26,1.57,69.60,45.13
SIGNAL020,0,1.56,2.03,82.31,62.82
SIGNAL020,5,1.93,2.48,89.50,75.27
SIGNAL020,10,2.39,2.92,93.75,83.72
SIGNAL020,15,2.83,3.32,96.28,89.60
SIGNAL020,20,3.19,3.68,97.77,93.34
SIGNAL020,25,3.49,3.94,98.64,95.76
SIGNAL020,30,3.70,4.09,99.17,97.34
SIGNAL021,-20,1.06,1.12,35.27,2.10
SIGNAL021,-15,1.04,1.15,39.33,6.14
SIGNAL021,-10,1.04,1.16,47.32,16.53
SIGNAL021,-5,1.13,1.34,61.90,35.05
SIGNAL021,0,1.36,1.78,77.49,55.97
SIGNAL021,5,1.72,2.28,86.91,72.06
SIGNAL021,10,2.16,2.81,92.55,82.20
SIGNAL021,15,2.53,3.23,95.63,88.22
SIGNAL021,20,2.98,3.56,97.37,92.44
SIGNAL021,25,3.29,3.78,98.31,95.16
SIGNAL021,30,3.59,3.98,98.91,96.84
