noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.15,1.06,24.00,5.94
26270,-15,1.06,1.12,31.31,11.78
26270,-10,1.06,1.11,42.94,21.06
26270,-5,1.10,1.25,60.60,39.45
26270,0,1.23,1.59,76.33,58.01
26270,5,1.49,2.08,85.91,72.62
26270,10,1.93,2.67,91.74,82.55
26270,15,2.48,3.24,95.16,88.92
26270,20,3.00,3.64,96.92,92.87
26270,25,3.37,3.89,97.90,95.18
26270,30,3.63,4.06,98.64,96.90
SIGNAL019,-20,1.10,1.12,21.16,3.74
SIGNAL019,-15,1.20,1.19,25.35,7.64
SIGNAL019,-10,1.06,1.12,35.85,16.23
SIGNAL019,-5,1.09,1.17,53.15,32.51
SIGNAL019,0,1.22,1.44,72.77,54.57
SIGNAL019,5,1.51,1.98,85.98,71.94
SIGNAL019,10,1.99,2.64,92.98,84.07
SIGNAL019,15,2.53,3.23,96.25,90.60
SIGNAL019,20,3.01,3.63,97.82,94.18
SIGNAL019,25,3.31,3.87,98.60,96.21
SIGNAL019,30,3.59,4.06,99.03,97.44
SIGNAL020,-20,1.09,1.11,24.28,0.86
SIGNAL020,-15,1.04,1.06,30.86,4.64
SIGNAL020,-10,1.07,1.15,45.39,18.90
SIGNAL020,-5,1.14,1.36,65.96,43.25
SIGNAL020,0,1.31,1.74,80.59,62.05
SIGNAL020,5,1.61,2.20,88.69,74.82
SIGNAL020,10,2.01,2.67,93.38,83.29
SIGNAL020,15,2.52,3.18,96.08,89.29
SIGNAL020,20,2.97,3.59,97.63,93.06
SIGNAL020,25,3.34,3.88,98.53,95.56
SIGNAL020,30,3.58,4.05,99.07,97.17
SIGNAL021,-20,1.05,1.10,27.43,0.70
SIGNAL021,-15,1.15,1.07,31.35,2.84
SIGNAL021,-10,1.09,1.20,39.78,12.00
SIGNAL021,-5,1.09,1.20,55.94,30.48
SIGNAL021,0,1.22,1.58,74.69,53.78
SIGNAL021,5,1.45,2.05,85.61,70.47
SIGNAL021,10,1.84,2.64,91.86,80.99
SIGNAL021,15,2.22,3.05,95.21,87.25
SIGNAL021,20,2.71,3.42,97.07,91.63
SIGNAL021,25,3.05,3.66,98.09,94.53
SIGNAL021,30,3.37,3.86,98.73,96.39
